33,8,4,2,2
14,5,2,0,0
18,7,1,2,2
0,1,0,0,2
3,0,0,1,1
2,1,0,1,0
41,8,7,4,4
68,25,12,10,9
64,25,11,10,11
35,20,5,2,2
6,3,1,1,2
50,16,13,4,8
199,64,26,15,21
37,15,7,2,10
52,10,6,5,6
27,8,3,3,7
36,10,4,6,5
47,6,9,5,7
203,41,24,10,13
262,59,22,19,20
88,26,11,7,5
26,13,4,4,4
25,7,4,2,3
19,6,1,1,3
53,25,7,4,6
39,20,8,3,0
1,1,1,0,0
25,11,4,1,6
18,11,4,3,1
27,12,8,3,4
9,2,8,1,4
36,11,6,5,7
2,0,0,0,0
4,0,0,0,0
1,0,0,0,1
33,16,10,9,1
7,5,2,2,0
23,11,7,5,3
3,2,0,0,0
4,2,0,0,0
20,6,5,2,0
2,1,0,0,0
10,4,2,1,1
95,36,17,14,5
11,5,1,3,2
1,0,0,0,0
142,57,23,13,14
92,25,8,3,6
4,1,0,0,1
5,1,1,0,0
12,6,0,1,1
81,36,13,17,3
5,1,1,1,0
11,8,4,0,3
1,0,0,0,0
1,0,1,0,0
1,0,0,0,1
2,0,0,0,0
1,2,0,0,0
1,1,0,0,0
5,0,0,0,0
1,1,1,0,0
20,11,5,2,3
27,14,4,4,1
26,12,9,0,0
42,21,9,2,3
45,24,2,5,5
41,16,8,5,3
85,46,22,6,10
44,16,12,3,5
1,1,0,0,0
1,4,1,1,0
5,3,0,1,0
23,7,6,1,1
14,10,2,1,4
0,0,0,0,1
120,42,19,16,12
1,0,1,0,0
4,2,0,0,0
14,6,2,2,1
20,9,4,1,2
22,13,4,3,2
25,14,5,1,1
1,1,0,2,0
23,13,3,2,1
7,2,0,0,2
2,1,1,1,2
32,12,5,4,4
0,0,0,0,1
10,4,1,2,2
2,3,1,0,1
2,2,1,0,3
18,9,1,1,3
6,2,1,1,3
15,3,2,7,0
4,3,1,1,1
10,1,1,0,1
13,9,0,0,4
56,20,7,2,6
8,1,0,3,1
22,12,8,2,3
2,3,0,0,0
13,3,2,1,0
7,6,3,2,2
4,3,1,2,0
1,2,3,1,0
3,0,0,0,0
0,2,0,0,0
8,6,3,1,0
10,3,0,1,1
0,0,0,1,3
28,14,3,10,1
25,2,7,3,1
23,6,5,0,1
14,9,1,0,1
17,7,2,0,0
20,4,2,1,1
17,2,2,0,1
21,6,4,0,2
19,7,6,2,2
2,3,1,0,0
17,3,1,3,0
27,4,2,0,1
12,3,3,3,1
37,12,4,2,7
22,4,4,1,1
4,1,0,0,0
4,0,0,1,0
3,0,0,0,0
0,1,2,0,0
41,17,5,4,6
1,0,1,0,2
0,1,0,0,0
118,39,17,11,3
24,9,5,4,5
3,1,2,0,0
1,1,0,0,0
95,29,13,10,5
139,44,26,11,6
199,55,26,13,11
142,40,24,10,8
1,0,0,0,0
172,52,25,9,13
20,8,3,2,1
124,35,9,7,8
22,6,3,0,2
396,91,55,18,19
40,14,3,5,3
7,2,1,0,1
1,0,1,1,1
7,1,1,0,1
9,0,1,1,0
7,0,1,0,0
3,5,2,0,1
2,1,1,0,0
1,2,0,0,0
28,7,3,1,2
1,0,0,0,0
21,9,4,1,4
14,6,4,0,4
22,4,0,2,3
176,41,12,8,10
375,64,30,15,13
334,58,12,8,9
19,8,4,0,4
143,56,21,7,9
252,82,18,20,18
402,80,27,21,16
362,86,21,20,11
535,116,40,42,18
985,204,63,41,24
600,156,49,22,15
794,192,55,42,22
666,188,72,32,31
4,2,2,0,0
33,10,2,3,1
23,5,1,0,1
14,6,8,1,1
210,74,36,24,24
202,82,40,27,16
106,41,23,14,13
66,31,11,6,3
158,44,18,12,11
29,13,3,3,3
11,3,1,6,1
17,7,2,6,1
17,14,2,8,3
10,6,1,3,0
9,8,1,3,1
24,15,5,3,8
25,14,4,5,3
15,7,2,1,0
31,21,2,5,3
22,19,5,4,3
17,20,8,3,2
27,24,3,5,2
20,11,4,2,0
18,7,0,1,0
8,13,2,4,2
18,6,3,1,0
26,11,5,0,4
11,11,1,0,1
11,7,4,0,1
6,13,0,2,1
13,18,2,2,1
6,1,1,0,0
13,4,0,1,1
10,10,0,0,3
13,3,1,0,1
3,0,0,2,0
0,1,2,0,1
13,1,0,0,2
6,2,0,0,0
3,4,1,0,0
3,0,0,0,2
39,6,3,0,7
25,12,1,2,4
21,7,2,0,2
0,0,2,0,0
1,1,0,0,0
7,4,2,0,3
1,1,0,0,0
2,2,1,0,0
5,2,0,1,0
6,1,0,1,0
2,0,0,0,0
90,29,21,25,21
106,31,16,8,8
13,7,0,0,0
20,2,2,0,0
34,11,9,1,2
6,0,1,0,0
8,8,0,0,1
8,3,2,1,1
20,7,3,2,1
20,21,3,3,2
25,14,0,3,2
8,1,0,1,1
37,16,3,4,4
6,5,1,1,1
4,3,0,1,0
3,3,1,0,0
9,5,1,1,2
14,8,0,3,2
4,3,0,1,0
1,0,0,1,0
23,7,2,4,2
16,3,3,1,2
14,10,4,2,1
8,4,5,1,0
4,1,2,0,1
46,14,5,7,7
0,0,1,0,0
12,6,0,1,1
6,0,1,1,1
2,2,2,0,2
2,2,0,0,1
3,0,0,0,0
3,1,0,0,2
4,3,0,0,3
1,1,0,0,0
2,1,0,0,0
499,160,52,48,25
13,14,5,1,4
10,6,2,1,3
4,3,1,1,0
9,5,1,1,4
2,1,1,0,0
17,4,3,2,0
9,4,0,2,3
32,14,9,4,2
72,38,8,6,6
73,29,14,4,6
1,0,0,0,0
24,7,5,2,3
44,17,6,4,5
165,62,17,8,7
149,52,17,8,6
287,102,39,26,14
314,146,43,27,20
180,67,25,13,6
178,66,27,19,13
195,54,35,20,11
88,28,13,8,8
102,51,16,7,9
142,44,23,14,11
6,1,1,0,3
99,68,23,12,9
101,74,25,15,7
120,81,21,18,10
87,45,18,16,10
58,11,20,2,5
38,9,9,3,4
156,57,20,16,12
112,44,20,9,3
4,0,0,1,0
12,10,1,3,2
6,6,3,2,0
3,4,2,4,0
2,0,2,1,0
4,2,0,0,0
1,1,0,0,0
47,21,9,5,1
38,14,11,3,4
36,12,10,9,1
4,0,0,0,1
10,2,1,1,2
13,5,3,3,1
11,5,1,0,2
18,1,0,1,1
13,4,2,2,2
7,2,2,0,0
8,2,2,3,1
73,24,3,5,4
432,251,124,74,71
145,44,17,8,11
13,5,4,0,1
50,18,4,1,4
5,2,1,0,0
94,26,8,8,10
71,23,8,2,5
29,17,2,1,9
11,4,1,2,6
12,9,2,3,1
38,28,11,6,1
41,11,7,4,3
64,12,9,2,5
39,23,8,3,4
32,14,3,2,2
31,9,5,5,2
40,10,6,3,3
50,18,6,5,2
24,20,5,5,6
19,12,5,1,7
29,7,3,0,3
29,7,2,0,6
77,33,7,3,6
40,6,4,0,2
53,12,10,3,1
59,31,7,6,7
117,48,15,8,17
488,144,57,32,32
56,23,13,10,4
210,44,27,9,6
7,2,0,1,0
43,12,11,4,4
13,3,4,2,2
70,20,14,9,6
229,51,28,11,9
6,2,0,1,0
46,8,8,4,4
115,41,15,6,7
5,2,1,0,0
8,11,6,2,8
25,17,11,5,8
77,66,28,13,13
38,21,7,0,7
35,22,9,3,11
